,text,scores,user_flowers,fav_count,aspects
215,@ProjectLincoln @AshaRangappa_ Abraham Lincoln never disclosed his medical records. Otherwise everyone would’ve dis… https://t.co/9VLTh7DPPL,2,21,0,biden
216,"#MI6_Crooke ""were Trump will over-react using the military, then it may be Trump who has his own ‘Tiananmen Square’… https://t.co/8IZeUd1Z4Z",2,2159,0,trump
217,@tedcruz Why do little d*ck losers like Creepy Cruz and Feeble Trump always try act tough and talk big by pointing… https://t.co/6IaUjtBtOo,1,337,1,trump
218,Happy Birthday Donald #Trump https://t.co/CLJBifkvBe,2,10736,0,trump
219,@karol @MeghanMcCain Why is @meghanmccain in NYC if she is. A petty little miserable Trump surrogate hates NY-- please leave. @theview,2,775,1,trump
220,"Is President Trump the one who’s sending the bikers there?  
They’ll do just as fine of a job as the military and n… https://t.co/QWja5SVet6",2,1295,0,trump
221,@iaintdaone @GratefulDaedal1 @jasonbuffardi @perlmutations @realDonaldTrump @mattgaetz I see how your TDS brought y… https://t.co/06sjr2Dckv,2,358,1,"trump,biden"
222,Trump: hold my pint https://t.co/Y20TAIdJ3w,2,2031,0,trump
223,"@Boreekwaa He deserves an Oscar just for playing a Trump supporter...seriously though, I can’t wait for him to team… https://t.co/3JtGdlcMps",2,533,1,"trump,biden"
224,@MissionRollCall Happy birthday. You guys share the same birthday as President Donald J. Trump.,3,2,0,trump
225,"@realDonaldTrump HAPPY BIRTHDAY PRESIDENT TRUMP!!
My daughter, Alayna is 10 today.  She tells everyone that she sha… https://t.co/cxuFBqklBn",3,15,0,trump
226,"The majority of the people in the United States are against Trump, and we're not silent. https://t.co/VL7ulSmBp4",1,196,0,trump
227,@sckarr1 @JoeBiden In November people will be voting for America or Trump.  Constitution or Trump.  Rule of law or… https://t.co/yScPhCxnT0,2,12,2,"biden,trump"
228,@Jayedabae @Hannernanners26 @rcky_ak47 @skaijackson i literally hate trump chill,1,6,4,"biden,trump"
229,@ki7re @greta Read the link in the document. This directive not to grant interviews with VOA came from the Whitehou… https://t.co/JTzmt2KXjL,2,13,3,"biden,trump"
230,Biden plagiarized a whole speech the first time he ran for president.. this guy needs to be medically discharged fr… https://t.co/fOixZfkx3e,3,463,0,biden
231,@EdwardTHardy @AprilGreen93 @realDonaldTrump @BarackObama His mental and physical health are deteriorating so quick… https://t.co/NrwERaovg9,2,1989,1,trump
232,"He's on mute.

Waiting for Levin.

Then bed.

Where Wallace should've been when Trump won in '16'. 

Oh, he was. https://t.co/RQVkGQ2rdh",2,272,0,trump
233,There are 1000 reasons why Trump shouldn't be president right now but we don't need wannabe doctors spreading this… https://t.co/iXUEdUtu6M,1,3932,11,trump
234,@ida_skibenes @afortini Are maybe he is just voting Green cuz both parties have presented two bad candidates. Let's… https://t.co/PjRqfe13BP,1,17,1,biden
235,"Infectious-disease expert warns of potential health risks at Trump rally https://t.co/tLA0DniY4Y

Not good for them -- or us.",1,4256,0,trump
236,@teaNgrace @suedon70 @JRubinBlogger @CNNPolitics 😂🤣😅; in your dreams about Black Americans respecting Trump &amp; believing Trump’s lunatic BS.,2,208,0,trump
237,"@WillRicci @michmazn Covid-19 is cured! Until the Trump rally, then it's back with a vengeance and why do you want… https://t.co/faz1Gyk7IL",2,720,1,trump
238,"Trump's re-election will allow legal retaliation, well maybe some illegal! https://t.co/0ubnu5q88A",3,7757,0,trump
239,You guys are confusing origins with a completely appropriate term to describe a style of politics intrinsic to Trum… https://t.co/P8aQMnqWUJ,1,53761,9,trump
240,@CharlesSpano Trump has a lot of very serious issues but if we’re not honest about the bipartisan fostering of viol… https://t.co/9AFmxrzoxi,1,736,1,trump
241,"@JonesWars @RealThunder402 @GearsofWar “Ooh look at me, I’ve got Trump in my bio, make America great again” https://t.co/miy88zRP91",3,389,0,trump
242,"@linehan_mn @sassiscjo @RebelliousRed2 @TheSickDreamer1 @eugenegu @afortini Uh, Won’t by 3 million American votes!… https://t.co/hzDBcsz79t",2,2064,2,biden
243,Happy Birthday to present Trump and happy 245th birthday to the us Army!,3,6,0,trump
244,"With President Donald Trump's rally in Tulsa, Okla., less than a week away, health experts warned that the indoor v… https://t.co/y9etuDiC6J",1,14105,0,trump
245,@realDonaldTrump - oh heck who cares what trump likes or doesn’t like. Make the sick weak bad looking old man as ma… https://t.co/cm1uRHM4BZ,3,64,0,trump
246,@WifeySpice90 @pleasure74 @alxellt0308 @MisleaderC @DerekGuberney @phalarope @ValH213 @WIZARD6913 @CunningSq16… https://t.co/nsqsZDP5j3,2,21677,2,biden
247,"This. I always hate when liberals ""roast"" trump, etc. who gives a fuck can we focus on actually fighting him and hi… https://t.co/b7EZlg2yMT",2,2,1,"biden,trump"
248,"@SamInspired If I was American, I'd vote Biden.",3,1584,35,biden
249,@realTrumpForce Some lady on Fox News sunday w Chris Wallace   Aka Debbie downer 🙄said Pres Trump is going to run h… https://t.co/zV4Mh862v1,1,161,0,trump
250,@atrupar Republicans are getting desperate! the only people who care about Clinton's emails are Trump's base and if… https://t.co/ZpVVlrTmJw,1,479,0,trump
251,"@jasebyjason The 2000s were a strange paradox -- on the one hand, you are right about the toxic culture of Reality… https://t.co/sw0aQwpTUw",2,570,1,biden
252,"@owillis W was probably the 3rd worst POTUS of all time, behind Trump and Reagan ....he was absolutely terrible and… https://t.co/OzK0CzSN6C",1,2421,0,trump
253,@BarackObama These are your kind of people. TRUMP 2020 https://t.co/UJC238S5gl,2,8,0,trump
254,Exactly - she’s representing #Trump as his attorney who’s filing a lawsuit for an article that supposedly has false… https://t.co/RVqLr3egry,1,50,0,trump
255,@realDonaldTrump @HardTru64414273 Happy birthday 🎈🎉🎊🎂🎁 MR PRESIDENT TRUMP thank you so much for your service and sa… https://t.co/Z8UNofNYZP,1,2989,0,trump
256,@GoJackFlynn @Alexis11955 @JosephJFlynn1 @JennaEllisEsq @GenFlynn @SidneyPowell1 @realDonaldTrump @DanScavino… https://t.co/3WVSGHFYZ9,2,538,13,trump
257,"@realDonaldTrump Happy birthday, President Trump!",3,1,0,trump
258,@DerekCressman I think of Trump as Reagan on steroids.,2,1311,0,"biden,trump"
259,"@feingold32 @perlmutations You couldn't be more wrong if you tried. #BunkerBoy  tRump does it 24/7, but he's not playing a part",1,78,0,trump
260,"@BridgetCarey Happy birthday! Man, you have it all! Flag Day! Army's birthday (No. 248). National Children's Day! N… https://t.co/ZAJt6gr5vT",3,41,1,biden
261,"@Augustus709 @Kathmandu513 @sahilkapur There's still a gap among minorities. 

Across the board men are worse. But… https://t.co/3UkTIlLirY",2,1199,0,biden
262,@afortini You can vote for whoever you want but either Biden or Trump will be elected.  That means you're throwing your vote away.,3,355,0,"biden,trump"
263,@emrata People are resisting that there is any moral equivalence between what occurred under Obama and what is happ… https://t.co/cBQczfQNP8,2,11,10,biden
264,"Sorry, but I agree. Hillary couldn't sneeze without media taking a shot. But Trump can't sip water or WALK and no M… https://t.co/FC4lO5T5la",2,44362,7,"biden,trump"
265,@PhilipRiversace @mommamia1217 Trump abandoned our friends the Kurds in the desert to slaughter and atrocities. 40%… https://t.co/xzr71Dirmx,2,1102,2,trump
266,@EdKamen @Blake_RESISTS @Mok1967SG most people named Karen at birth are good people.. but trump's karen is an evil crazy b*tch just like him,3,3498,1,trump
267,@BBCWorld The infection was always there. Now patients are getting tested. The PM Modi was looking into the eyes of… https://t.co/tuHTvczlWp,2,0,0,trump
268,@ConcernedHigh @SouthwestAir More virtue signaling but wow...that it unacceptable!!!!,1,5969,3,"trump,biden"
269,"I’m voting Green. If I lived in a battleground state, maybe I would vote for Biden. I live in Louisiana, there’s no… https://t.co/lblNV7RdpC",2,342,5,biden
270,@JennaEllisEsq @brianstelter You're still braindead. The latest national Zogby poll has Trump and Biden tied at 46%… https://t.co/fx2IHy7RWH,2,3,0,"trump,biden"
271,"the pope started the war on us
in 2016
he called all us intersex and transgender people
abominations, unnatural.
An… https://t.co/uUzrVOvydn",2,284,2,biden
272,@parscale Good deal. Spread Covid to Trump supporters enmass! Better chance of success for return to democracy in 2021.,3,58,0,trump
273,"@afortini No, you’re not a resister. 

You’re a Trump enabler.",1,5281,1,trump
274,@grand_indiana @thejtlewis @realDonaldTrump You mean you want them to be like trump? https://t.co/HSwUEnlfn8,2,51,1,trump
275,I've always been impressed by the diversity one sees at a Trump rally. https://t.co/L3gsBI2Hcj,3,20819,188,trump
276,"Basement Joe Biden 

Hi, folks. I’m happy to announce... 😟

60 second pause. 

I’m scared, Jill. Where the hell am I?",2,21095,33,biden
277,Happy birthday @realDonaldTrump !  Hope you're having an amazing day!  Here's a pic of the cake we had at our local… https://t.co/TWoFHl8h5H,3,1336,11,trump
278,"@TaraLV_7451 @DKnight10000 Yes obviously the Green party could never win and Joe is preferable to Trump, but ya kno… https://t.co/97ob1PvYeQ",1,89,5,trump
279,@afortini No. You're a trump supporter. Democracy is more important than your views.,1,2541,1,trump
280,"Yes a lot of it was reused but screw it!
Drunk human art :’D

Nobody is telling me that I or the people I love don’… https://t.co/4yowTTrfuD",2,497,6,biden
281,@LittleMike1977 @realDonaldTrump @BlackVoices4DJT It seem Mostly educated blacks is voting for Trump because they know what’s Up 🙏🏻🇺🇸🙌🏻🥳🇺🇸💯,2,38,1,trump
282,@SandraNH5 @shawna_burley @Hi_IQ_Trump *taking,2,521,0,trump
283,@RottenInDenmark @chick_in_kiev Mass rallies in support of a President who did everything in his power to downplay… https://t.co/uMyAMQ8TID,2,71,5,biden
284,"@chevmann64 No they are not, it just that treatment is dangerous and has not worked in spite of what trump is sayin… https://t.co/iNCeugVvBs",1,1602,0,trump
285,"Trump rally ticket requests surpass 800,000 and it’s only been 2 days  https://t.co/z9EDDvt8cJ",2,2683,0,trump
286,@afortini I am going to be kind. No you are not a resister. You are throwing away your vote to prove a point. This… https://t.co/QfmR4K8ZkR,2,66,0,biden
287,"#Trump &amp; ⁦@TheJusticeDept⁩ want you to think that rubber bullets, tear gas &amp; pepper spray are harmless, but just as… https://t.co/6ToTlK5ABk",2,722,0,trump
288,Win-Win: Trump says he will no longer watch US soccer teams after anthem policy change https://t.co/dcqv7r6Aeh,1,292,0,trump
289,@realDonaldTrump Trump is clearly losing it...,1,1,0,trump
290,@realDonaldTrump Happy Birthday President Trump!,3,57,0,trump
291,These career politicians trying everything they can to look better than Trump. Trump is taking America out of their… https://t.co/hW4PzFbPSy,3,32,2,trump
292,@realDonaldTrump That’s because “THEIR SUPREME LEADER” (GEORGE SOROS) gives PELOSI - SCHUMER- and ALL his Main Stre… https://t.co/9Sbe0qAPze,2,29,0,trump
293,"@us_denmark @trumps_all @SergeiMillian Thanks. I am aware of the shady stuff, but primarily follow the Flynn case.… https://t.co/wCJiZBCvw2",2,323,0,"trump,biden"
294,@YourAnonCentral @thericharefood U needs be hacking trump shit,2,81,0,trump
295,FUCK CUBANS THAT SUPPORT TRUMP. https://t.co/HgwbqZ2u4p,2,724,2,trump
296,@afortini No. You choosing to vote for a party that can’t possibly win (based on nbrs) which means you’re taking a… https://t.co/jd03Xf55pl,1,5282,1,"biden,trump"
297,"@TheRickWilson Yes, Trump brings out all the crazies.",2,14,0,trump
298,@SteveSchmidtSES Look at Trump then look at Biden. Trump is overweight and can barely carry a conversation while Bi… https://t.co/3KZiMlhZKV,2,67,0,"trump,biden"
299,"If you want to vote for the Green Party then you should.
This is still America.... for a while anyway.
Voting for B… https://t.co/hhkg1Vhk0z",1,39,0,"biden,trump"
300,@thebordeline69 @atrupar Now do Biden.,2,276,5,biden
301,"@realDonaldTrump Hey trump, i really need my unemployment dating back to early april. @GovTimWalz shut us down earl… https://t.co/12wudrubSl",1,14,0,"trump,biden"
302,Carson declines to back Trump's claim on being best president for African Americans since Lincoln - ABC News via… https://t.co/b6JGBTiuWj,2,14,0,trump
303,"@OhNoSheTwitnt @LibyaLiberty @JENuine_Draft They have always been here, just spoke it to other racists. Trump has e… https://t.co/Jp8cmuAbbQ",2,1462,3,trump
304,@RwbyArxangel @greg_doucette Theres a reason Trump makes it us versus them. He uses fear to control his grip on Rep… https://t.co/1sLf3FncH9,3,19,0,trump
305,It trully boggles my mind when I see women support trump... like... you know he's a rapist right??,3,83,7,"biden,trump"
306,@bunnybunnyb1 @AmeshiaCross Unfortunately I don't think Bernie will run again. He'll be pretty old by the time the… https://t.co/4M1wIq6YkA,1,2,0,biden
307,@CyrusToulabi There’s a silent majority in the military that will probably blindside Trump. https://t.co/7kqNogjowO,3,92,4,trump
308,"Trump up just two? That's what @StormyDaniels said, too. https://t.co/zd37zeL9Ji",2,174,0,trump
309,@TracyLa42575491 @Junie12326751 @thejtlewis black people are discriminated against a lot in America why is it an is… https://t.co/4jUt3XyhXT,3,13,0,"biden,trump"
310,Trump ql habla puras weas,2,1,0,trump
311,@LoudmouthLira @leslieherod @JoeBiden @KamalaHarris I'm not the one that has TDS. And it is not covered under Obama… https://t.co/d1puPPjuEF,2,55,0,biden
312,"@NastyBlueWoman2 @ErrolWebber @realDonaldTrump @POTUS No, Biden will be in a home for Alzheimer’s patients, sad to say.",2,69,2,"trump,biden"
313,"@realDonaldTrump Football, baseball, NASCAR, national little league, all have turned their back on the racism promo… https://t.co/Awo17Z5oYM",1,11,0,trump
314,Me and donald trump's birthdays are a little too close for my comfort,1,66,2,trump
315,"@LevensonEdward Anywhere in EU or Canada would be nice. I’ve been to many countries and all are better than US, esp… https://t.co/unhf8vihKu",2,2825,0,"biden,trump"
316,@WhiteHouse @realDonaldTrump President Obama’s 21st policing was very great and trump throw it out . That shows how dumb trump is,3,12,0,trump
317,@newtgingrich Trump has been destroying this country since the day he got elected. He has destroyed all of our inst… https://t.co/3RnZacr8Rr,2,527,0,trump
318,Like I keep saying fuck Joe Biden https://t.co/IpNF5b1aXt,2,1277,0,biden
319,"@geostatonary i was curious how that one trump post is looking and apparently it's:
-deleted the part about steve b… https://t.co/TQqhuBNf1P",2,73,1,"biden,trump"
320,"@RealJamesWoods Well, Obama banned it, so there is that. If Trump is for it &amp; Obama is against it?? Also, guessing… https://t.co/ak1ClGpUvH",2,143,0,trump
321,@mmodi93 White women have confused snark and pettiness with feminism.  I do think these qualities have a place in t… https://t.co/41TmHxNsT2,1,536,2,biden
322,"In his upcoming book, John Bolton will describe Donald Trump as a President who only cared about getting reelected,… https://t.co/JEsEtUgkLu",2,35382,1,trump
323,@skaijackson And the Trump administration made it harder to track civilian deaths by dronestrike in the Middle East… https://t.co/qcFPxu87cd,1,17,0,trump
324,@JRehling This is exactly how Trump got elected. Third party voters take their ball and go home sulking if they don… https://t.co/91SZClPa1V,2,37,6,trump
325,Oops: Reality don't seem to agree with Trump Administration claims on violent attack on peaceful protesters in… https://t.co/BrM2GuUlup,1,1400,0,trump
326,"Hypothesis: Trump has bicep tendonitis.

Just before he raised the Bible, he turned his hand around and gripped it… https://t.co/O7N8VZNGHk",2,4066,1,trump
327,"@mattgaetz @realDonaldTrump No need to cuss.   God is in control of this election.  

Vote Biden",1,36,0,"trump,biden"
328,@MaryMay37833008 @sinae_oficial @compresidencia @MSPUruguay @opsomsuruguay @opsoms Really? You found me speaking in… https://t.co/nWNw2pSyzj,2,12424,2,biden
329,@mediocrebitch47 I’m sorry. I hate all the stuff aimed at Biden for the same reason - he’s going through very real… https://t.co/KcUxXhE4ER,2,123,1,biden
330,@HKrassenstein Imagine being a person that thinks voting for Joe Biden saves you from anything.,2,1,0,biden
331,@IronicallyWhite @Partisangirl I personally know some of the types that hate trump and scream social justice but pr… https://t.co/GQf5QKOsJT,1,56,0,"biden,trump"
332,@Mike_Pence @realDonaldTrump Happy Birthday president Trump,3,45,0,trump
333,@DLoesch 2020 Democratic presidential candidate Joe Biden after he said that the President may try to steal the 202… https://t.co/5LCGABznAN,2,3,0,biden
334,@rain_with_an_a @realDonaldTrump No wonder Trump wants to attack. Free ice cream!,1,289,1,trump
335,"@WDunnBuilding @VoteGloriaJ Yes, Trump disrespects the flag every chance he gets. But why are you bringing that up… https://t.co/Mw6OGtyvxN",2,843,0,trump
336,my dad is the type of person that detests trump and supports blm but also doesn't see the incompetence in his own g… https://t.co/EzkkXbsbKv,1,1025,11,trump
337,"@OrganicMoonman @miss96jane @ToireasaB Bro, Trump can't even drink a glass of water without almost shitting himself.",1,22805,3,trump
338,@mikandynothem @realDonaldTrump @DonaldJTrumpJr @EricTrump @DineshDSouza @RitaCosby @frfrankpavone @alley167… https://t.co/yJGESIgfMp,2,543,0,trump
339,"@realDonaldTrump 
Happy birthday to the best Prez ever! 
No, not everything's about you, Trump. I mean a REAL presi… https://t.co/VLdOJ7Qh8s",3,485,0,"trump,biden"
340,@WhiteHouse @realDonaldTrump @POTUS @foxandfriends @GOP @HouseDemocrats @OccupyDemocrats  @HouseGOP @SpeakerPelosi… https://t.co/30VCn3w5kg,2,51,1,trump
341,"So y’all mean to tell me that in Toccoa, someone had the audacity to host a “Trump boat parade” on the same day as… https://t.co/8pib1LVfDY",1,931,23,trump
342,@TheTrut84080134 @LiamKraus @wake_pc @PalmerReport @realDonaldTrump Even Fox knows it.https://t.co/W6np7XTu1R,2,3935,2,trump
343,@AZforBiden2020 We love Arizona!!! Arizona loves Biden! #TeamJoe https://t.co/RhhBjhUAD0,2,848,1,biden
344,Happy Birthday President Trump!,3,9,0,trump
345,"Tulsa Health Department Urges  @realDonaldTrump To Cancel His Rally - Trump is so despicable, he doesn’t care if he… https://t.co/qJEJ0O9kKd",1,5742,0,trump
346,"@4_the_babies If Biden cant win bc of electoral college, why vote 3rd party? That makes no sense 
You'd most likely… https://t.co/NuxQSy1sps",2,239,2,biden
347,Great America : Trump vs Barrack Obama || Katt Williams https://t.co/sO0zzN5WDZ via @YouTube,3,8,0,trump
348,"@MarkMeadows You might tell Trump to fire that idiot Larry Kudlow, he's wrong on everything! COVID-19 case are incr… https://t.co/RpYiYMKYXu",1,4,1,trump
349,@StillwaterCol @tomricks1 @saletan @FoxNewsSunday The Grant administration is remembered almost entirely for its co… https://t.co/K9CrtSqJNe,2,467,0,biden
350,@realDonaldTrump Just want to share a pic of trump's in penthouse. https://t.co/8S8Hiyuof4,2,30,0,trump
351,"@kushibo @adamadonaldson Well, Trump is a Demon brought to Earth by a Nazi wizard, and I don’t think 2 are allowed… https://t.co/W1AmZjeNV0",2,3339,7,"trump,biden"
352,@IvankaTrump @realDonaldTrump Happy Birthday President Trump! 🇱🇷🇱🇷🇱🇷,3,0,0,trump
353,@realDonaldTrump Trump are you still a nazi?,2,36,0,trump
354,@1retrovisor Donald Trump,2,1404,0,trump
355,"Republicans Are Breaking From Trump Like We’ve Never Seen
In recent wks-with the nation battling two separate crise… https://t.co/JIcxLrVmnQ",1,1164,2,trump
356,@BidenWarRoom @realDonaldTrump President Trump we are so excited for your rallies to start again! MAGA,3,46,1,"biden,trump"
357,"@Matthew_4_Trump Nope, I’m a white man with African slave ancestors. They can kiss my ass!",2,4119,1,trump
358,Trump's Walk Down Ramp at West Point Raises Health Questions #politics #news #USPolitiHUB https://t.co/OktVO0o4ZJ,1,278,0,trump
359,Fuck trump and the ramp he ran down on,1,217,5,trump
360,"@gtconway3d @realDonaldTrump President Obama was a great President, a great man, husband, father, a religious man,… https://t.co/tApFDfIpPl",3,295,0,trump
361,"@mattgaetz @PutinOwnsbaudeT Matt, you are embarrassing yourself and your Daddy Trump. Just calm down and have a drink buddy.",2,1195,0,trump
362,"@Jeffery0001 @CNNPolitics @jaketapper I call out hypocrisy. In 2015, the president had an opportunity to do what yo… https://t.co/xC3ypOSO0V",1,247,0,biden
363,@WarNuse Happy Birthday to PRESIDENT DONALD J TRUMP elected 2016 and 2020.,3,106,0,trump
364,I’ve taken Trump surveys before and they are ALL LIKE THIS ONE. I remember a question about Trump’s job performance… https://t.co/VHno5EaivP,1,113,0,"trump,biden"
365,@adamgoldmanNYT @gtconway3d @MattWhitaker46 @Folly_and_Glory Matt Whitaker’s book will follow him down the big toil… https://t.co/YeAsrsgNcL,1,33,2,biden
366,@realDonaldTrump Dear Mr Presidente Donald J Trump Happy Birthday !!! God bless you !! Thank you for all your suppo… https://t.co/jlX76Ss3yB,2,1,0,trump
367,@LizMitc20618988 @marshal16954515 @SamHeughan Thank you Liz for pointing out the TRUTH!  I'm a Trump supporter and… https://t.co/iBZtCJDDxm,2,14,1,trump
368,@bigmanhimseIf @pkmiraj_ampaw_ Ayoooo..he better releases it quick because the last time he spoke on serious politi… https://t.co/SnEzPCcGQf,2,2469,0,"trump,biden"
369,@NotATweeter16 @maggieNYT 8/8...President half the time..Sad ppl are using him to win the highest office in the lan… https://t.co/j6Sf2dl8iL,2,63,1,biden
370,@JennNeiser As 4 has the sexually harrassed women were r they and why is lying Joe Biden not b held accountable for… https://t.co/fNvuh1MT7V,1,9,0,"trump,biden"
371,@WhiteHouse @realDonaldTrump Did Trump grab all their...... when he interviewed them because that is the ONLY reaso… https://t.co/QQlJCx7JR1,2,282,2,trump
372,@RDCSports @jphealy DO WE REALLY CARE #TrumpIsNotWell #TrumpWearsAdultDiapers #Trump #TrumpIsARacist… https://t.co/Wp1SqxrCmq,2,81,0,trump
373,"@TimJDillon ""Trump Should Win""

""Every measurable statistic is in his favor""

FTFY dimwit.",2,84,0,trump
374,"@andrewklavan @JennaEllisEsq @brianstelter @JennaEllisEsq, good job girl. TYVM. You just made my day. I am sure tha… https://t.co/lpd0NK5BSn",3,9,0,biden
375,"@AsOneWeOvercome @DivDougNation @PalmerReport @realDonaldTrump Numbers don't fit your claim... but besides that, le… https://t.co/KONibAO5F3",2,6401,0,trump
376,@afortini No ur considered a Trump supporter. Biden will b fine + will surround himself with amazing leaders in his… https://t.co/qXlcifPpHK,1,359,0,"trump,biden"
377,Im exhausted... I’ve posted and retweeted everything trending to make a mockery of idiot’s birthday! Thanks all and… https://t.co/LmoFCUPG6u,1,24658,18,"trump,biden"
378,I’m glad Youtube and Twitter are not Trump supports cause I’d be proudly giving Trump my money everyday.,1,4487,1,trump
379,@realDonaldTrump I just talked to my media watching sister who said Trump is really hated more than ever and she do… https://t.co/pGy4CmwMDy,1,2816,0,"trump,biden"
380,@P_Pourier @lil_uncle_drip @YoGive1 @JakobL_18 @duritzkitten I’m sure the Green Party candidate will get M4A passed… https://t.co/8wqReTQhmo,2,51,0,biden
381,Rampgate is just everyone’s excuse to post about how they’d rather have sex with Obama or Biden.,2,47,0,biden
382,@laurie_lat @kiki19872 @mystladymystlad @w_terrence @realDonaldTrump He isn't a law maker the house and Senate are… https://t.co/WLD0c3Kz1x,1,274,0,trump
383,I suspect this is also how Trump works. https://t.co/HdCifAIEq9,2,448,1,"biden,trump"
384,@boston7905 @tpmalone @Trump_Regrets @realDonaldTrump You are a little self righteous to lecture someone who is say… https://t.co/VGq3QQoMbf,1,98,0,trump
385,@iNSaN8TY @IsIn2020 @mmpadellan @realDonaldTrump False! Meanwhile trump has paid $38 million in settlements to wome… https://t.co/UXiAvNNM11,1,9,0,trump
386,@trump_gays That there could be an argument in favor of Bill Gates’ desire for population control.,2,6563,0,trump
387,"BULLSHIT! BULLSHIT! BULLSHIT! 

Sen. Tim Scott says Trump didn't know the significance of Tulsa and Juneteenth when… https://t.co/4XMclT0xyp",2,405,0,trump
388,@Amy_Siskind Trump spreading the plague and racking up millions in police overtime that he will never pay. Sounds j… https://t.co/p6lnqdmQh4,1,395,0,trump
389,🔴 LIVE: President Donald Trump Delivers Commencement Address at West Point 6/13/20 https://t.co/7uN2xAIQn3… https://t.co/U2DOBun1vQ,2,763,0,trump
390,"@PalmerReport @MyVapeBusiness @realDonaldTrump Aww, Mr 4 head I mean 5 head is still crying about Trump. https://t.co/aWxijpuflu",1,408,0,"trump,biden"
391,Insanity by-way-of Trump's  blackmail threats. https://t.co/veriXE7O8Q,1,4539,3,trump
392,@djm1992a @FreedomRecon @newtexas3 @CBeeghly @atrupar FDR won his first presidency while confined to a wheelchair… https://t.co/Q8TOv39ktK,2,208,0,"trump,biden"
393,"@RobertLusetich @ProjectLincoln @AlexBerenson @realDonaldTrump Oh dear, it's another victim of Trump-Tourette's:

T… https://t.co/ok3vK6pJAp",1,1134,1,trump
394,@funder I'm independent. I often cast a protest vote because I vote in a safe state (CA) but I want Trump to suffer… https://t.co/umJpzyKyZf,2,338,0,"biden,trump"
395,I've never seen trump interact with his grandchildren. #142days  #ObamaAppreciationDay https://t.co/Dde7Cb8Bhq,1,1161,1,trump
396,"@GOPLeader @realDonaldTrump Happy birthday president Trump, thank you for all you do to MAGA. America loves you",3,40,0,trump
397,@chrstivn_ @Kiti_kat @AlwaysActions @realDonaldTrump Biden the pedo!,2,4539,0,"trump,biden"
398,"@CherryOScary @BryanDawsonUSA @afortini Quite the contrary, Trump is a bubbling bafoon and has a horrible approval… https://t.co/YMEfeLXYE3",1,16,0,trump
399,@ec_kag @MarieAimee12 @Aug_1405 @Eileene2002 @JamesOw70307119 @cathyyoung421 @brown_eyeedgirl @mine3x @Steven_KJV… https://t.co/pqoInposzh,2,12352,2,biden
400,"Beautiful Family!
God Bless President Trump and his family! 
Keep them safe!

♥️🇺🇸 https://t.co/GrB1GC6qIn",3,280,1,trump
401,"Every dollar donated to BLM goes to an organization called “Act Blue”, which is helping fund Joe Biden’s campaign. How is this not fraud?",2,541,0,biden
402,@MacCheeseShow @afortini Simply put:  A vote NOT for Biden is a vote for Trump.  End of story.,1,225,12,"biden,trump"
403,"@realDonaldTrump trump, most Americans hate you. Other countries think you’re a lunatic (it’s true). The trump expe… https://t.co/hAEvwmdSy8",1,0,0,trump
404,@JoeBiden Without virus and chauvin...Biden wouldn't even heard from again. https://t.co/kEKAFv467Z,1,3,0,biden
405,"'You're Not a Journalist Brian, You're an Activist!"" - WOW! - Trump Senior Legal Advisor Destroys CNN's Brian Stelt… https://t.co/WCfM4sYorK",1,1781,0,trump
406,@horowitz39 It's weird that your parents were communist and you can't discern between the fact that Trump is a Nazi… https://t.co/1TDKI4W6IN,1,39,0,trump
407,"Bc I only knew how to shoot rifles when I was younger, an ex's dad taught me pistol training after Trump was elected. Thanks Tino.",3,212,1,"biden,trump"
408,@JuliansRum President Trump always knows. 🇺🇸,3,299,19,trump
409,"#HappyBirthdayPresidentTrump
What we should do is add all our blocks lists together to one big data pool of stupid… https://t.co/ShTVrs2zio",1,40,1,trump
410,"It just goes to prove trump’s ignorance of American history, his racism, his role of being a traitor to our country… https://t.co/rHXwvJIR6i",1,2355,0,trump
411,"@the_woot Well yeah, but something about Trump bump stocks. 🤷‍♀️🍸",3,1911,2,trump
412,@Bengwatkins @Froggo3 @TONYxTWO @cjtruth @realDonaldTrump You seem to be twisting yourself into a pretzel to ignore… https://t.co/e2w94zWehR,2,49,1,trump
413,@bennyjohnson @j20godschild Is that Biden’s rally? Nope. He is still in the basement. https://t.co/dowGf6Ny7p,2,2992,12,biden
414,@Francis89757682 @itsJeffTiedrich @realDonaldTrump Lmao trump derangement syndrome literally translates to trump be… https://t.co/iQy7r9JnWX,2,12,1,trump
415,"@KarluskaP The Wave of Trump Support coming Nov 3rd is... UNPollable

Nobody Trusts Media or Pollsters to give a da… https://t.co/kURnAGNKTS",1,699,1,trump
416,"I’ve said previously that 8 people I know, 4 aunts and 4 coworkers, who were huge trump fans, have left the cult re… https://t.co/FRJscGGz4x",1,2293,10,"biden,trump"
417,"@SandraNH5 @shawna_burley @Hi_IQ_Trump Yeah, but it’s a joke. The Libertarian Party is the only realistic path forw… https://t.co/NXIhrUCTpP",1,521,1,trump
418,@ChrisChristie  You are full of crap if you think Trump gets credit prison reform...I heard he hasn't put ANY MONEY… https://t.co/tLz4qqGROq,1,31,0,trump
419,@drewgasmatron @D1aneMontana @RachelleFriedm2 @JordanW34746946 @ktbogg94 @DonaldJTrumpJr @IvankaTrump @jaredkushner… https://t.co/OwnsSGoKAc,2,134,1,trump
